fecha,Real tax payments,ARIMA forecast,lower_ci,upper_ci
2012-11-01,1415.660599,,,
2012-12-01,5427.916879,,,
2013-01-01,2010.570585,,,
2013-02-01,1755.963503,,,
2013-03-01,1854.089634,,,
2013-04-01,2050.572356,,,
2013-05-01,4039.942818,,,
2013-06-01,2219.171842,,,
2013-07-01,2287.855761,,,
2013-08-01,2485.412962,,,
2013-09-01,2411.817208,,,
2013-10-01,2339.603988,,,
2013-11-01,2363.249349,,,
2013-12-01,3371.998138,,,
2014-01-01,2955.16607,,,
2014-02-01,2443.590912,,,
2014-03-01,1708.586098,,,
2014-04-01,3838.622623,,,
2014-05-01,2539.509389,,,
2014-06-01,2791.932764,,,
2014-07-01,2880.660953,,,
2014-08-01,2520.061993,,,
2014-09-01,2509.002792,,,
2014-10-01,2644.742988,,,
2014-11-01,2664.763915,,,
2014-12-01,3613.805289,,,
2015-01-01,3854.357602,,,
2015-02-01,2821.408106,,,
2015-03-01,2908.936085,,,
2015-04-01,3215.463033,,,
2015-05-01,2850.074055,,,
2015-06-01,2642.511454,,,
2015-07-01,3378.839452,,,
2015-08-01,2840.399883,,,
2015-09-01,2861.83776,,,
2015-10-01,2808.422003,,,
2015-11-01,2897.399908,,,
2015-12-01,4742.933436,,,
2016-01-01,2815.488341,,,
2016-02-01,2644.140708,,,
2016-03-01,3272.439803,,,
2016-04-01,4164.221417,,,
2016-05-01,4086.123656,,,
2016-06-01,2633.392106,,,
2016-07-01,3992.960762,,,
2016-08-01,3099.011583,,,
2016-09-01,4187.835386,,,
2016-10-01,3462.28411,,,
2016-11-01,3349.360359,,,
2016-12-01,5215.39209,,,
2017-01-01,2868.445926,,,
2017-02-01,6263.140009,,,
2017-03-01,4367.412027,,,
2017-04-01,4079.591164,,,
2017-05-01,4128.494564,,,
2017-06-01,3062.146781,,,
2017-07-01,4709.457047,,,
2017-08-01,3802.269031,,,
2017-09-01,4072.4349,,,
2017-10-01,3960.457393,,,
2017-11-01,4626.768231,,,
2017-12-01,6300.536087,,,
2018-01-01,4157.124345,,,
2018-02-01,2873.772479,,,
2018-03-01,2914.020434,,,
2018-04-01,3858.587788,,,
2018-05-01,3184.083623,,,
2018-06-01,3032.532978,,,
2018-07-01,2843.91191,,,
2018-08-01,3057.756803,,,
2018-09-01,2782.07154,,,
2018-10-01,3342.616362,,,
2018-11-01,2575.810904,,,
2018-12-01,14333.201792,,,
2019-01-01,3797.660507,,,
2019-02-01,3654.077414,,,
2019-03-01,3059.67476,,,
2019-04-01,3861.318266,,,
2019-05-01,3390.668787,,,
2019-06-01,2289.847106,,,
2019-07-01,3995.634212,,,
2019-08-01,2523.48612,,,
2019-09-01,2890.749891,,,
2019-10-01,2809.740023,,,
2019-11-01,2733.824225,,,
2019-12-01,22364.105455,,,
2020-01-01,4001.330127,,,
2020-02-01,4786.937404,,,
2020-03-01,3790.93978,,,
2020-04-01,3789.335634,,,
2020-05-01,4302.681209,,,
2020-06-01,4890.853114,,,
2020-07-01,4102.419285,,,
2020-08-01,3378.420037,,,
2020-09-01,4556.140699,,,
2020-10-01,5299.424237,,,
2020-11-01,3494.184219,,,
2020-12-01,18777.14505,,,
2021-01-01,,2563.259455694927,457593095.90317035,4668925815.486684
2021-02-01,,4358.482246953422,2223322247.050206,6493642246.856637
2021-03-01,,5645.674086179001,3455972251.5352,7835375920.822802
2021-04-01,,5199.9352549991645,3009648355.2698283,7390222154.7285
2021-05-01,,6280.3577303445945,4087713657.115422,8473001803.573769
2021-06-01,,6097.036146048828,3892585324.293844,8301486967.803812
2021-07-01,,4852.074613025602,2643730601.8633657,7060418624.1878395
2021-08-01,,4693.638020490021,2484615037.6845894,6902661003.295452
2021-09-01,,5563.943207499278,3354041855.822444,7773844559.176112
2021-10-01,,6344.878005567689,4134938605.8494954,8554817405.285883
2021-11-01,,4232.232655117188,2022005636.8766303,6442459673.357746
2021-12-01,,18542.9057485392,16332569179.955803,20753242317.122597
2022-01-01,,2446.859771349514,-482981887.7810731,5376701430.480101
2022-02-01,,5084.552147312828,2151758097.2456403,8017346197.380016
2022-03-01,,7406.957361899919,4452794454.158855,10361120269.640984
2022-04-01,,6347.108287762004,3390916288.1036186,9303300287.42039
2022-05-01,,7918.202757202573,4957281816.874611,10879123697.530535
2022-06-01,,7085.015133650983,4098966925.0979056,10071063342.204062
2022-07-01,,5554.912137885051,2562305277.5519257,8547518998.218178
2022-08-01,,6092.439904203942,3098944269.416091,9085935538.991795
2022-09-01,,6616.25096298361,3620252074.329813,9612249851.637407
2022-10-01,,7427.154678119465,4430942602.037535,10423366754.201395
2022-11-01,,5057.037871886772,2059587975.328102,8054487768.445442
2022-12-01,,18453.007514785902,15455457874.398281,21450557155.173527
2023-01-01,,2592.8835114518583,-888357901.5472612,6074124924.450978
2023-02-01,,5961.810875764892,2480341892.2738204,9443279859.255964
2023-03-01,,9082.08168099095,5590544017.176064,12573619344.805836
2023-04-01,,7297.611745214628,3801696929.3269978,10793526561.102259
2023-05-01,,9314.276487713581,5812275688.293903,12816277287.133259
2023-06-01,,7942.634948328684,4405836426.101427,11479433470.55594
2023-07-01,,6248.908354332674,2705126461.468307,9792690247.19704
2023-08-01,,7550.452059808422,4005987173.5662255,11094916946.05062
2023-09-01,,7663.8197773318025,4114624751.988188,11213014802.675417
2023-10-01,,8500.162487896896,4950435225.994859,12049889749.798931
2023-11-01,,5935.247544956077,2382749432.650653,9487745657.261501
2023-12-01,,18476.828383072647,14924285075.060774,22029371691.084522
2024-01-01,,2962.730349445383,-949179961.2715368,6874640660.162303
2024-02-01,,6955.861980922983,3040277635.7045274,10871446326.14144
2024-03-01,,10671.125497623634,6750002696.035185,14592248299.212084
2024-04-01,,8101.753438899492,4173059795.5692997,12030447082.229685
2024-05-01,,10541.900006846783,6606757164.5823145,14477042849.111252
2024-06-01,,8732.374985507533,4756655564.438339,12708094406.576725
2024-07-01,,6957.359348996708,2975572858.9579387,10939145839.035477
2024-08-01,,9046.353347427374,5064185806.47282,13028520888.381927
2024-09-01,,8675.491959520863,4685746950.149475,12665236968.89225
2024-10-01,,9540.160595528292,5549499259.266592,13530821931.789991
2024-11-01,,6850.529276697235,2855276863.9297667,10845781689.464703
2024-12-01,,18593.166337412345,14597905431.366064,22588427243.458626
2025-01-01,,3521.8791478033886,-752842888.3795557,7796601183.986333
2025-02-01,,8034.163586685507,3751241544.3007207,12317085629.070293
2025-03-01,,12171.909034585791,7885313262.1882105,16458504806.983372
2025-04-01,,8799.101591678109,4501094220.357404,13097108962.998814
2025-05-01,,11655.8906647197,7351829576.0030775,15959951753.436321
2025-06-01,,9497.282500875388,5149975608.971416,13844589392.779358
2025-07-01,,7692.619682611828,3340653790.774744,12044585574.448912
2025-08-01,,10561.440754794397,6209322884.021494,14913558625.5673
2025-09-01,,9633.141207927214,5269965055.4578285,13996317360.396599
2025-10-01,,10538.122313736229,6173687191.679675,14902557435.792782
2025-11-01,,7796.644995081231,3425824883.9176264,12167465106.244835
2025-12-01,,18786.412753471395,14415592272.798046,23157233234.14474
2026-01-01,,4239.471206202744,-354395889.85136795,8833338302.256855
2026-02-01,,9167.78582765238,4561973664.291803,13773597991.012957
2026-03-01,,13582.714733055318,8973916988.865253,18191512477.245384
2026-04-01,,9421.92916391675,4797525713.221455,14046332614.612045
2026-05-01,,12696.952748914055,8067377831.653676,17326527666.174435
2026-06-01,,10265.637117711412,5592332782.088598,14938941453.334227
2026-07-01,,8459.282972197465,3782699766.0129585,13135866178.381971
2026-08-01,,12079.579808735532,7402962952.941633,16756196664.529432
2026-09-01,,10528.068912247869,5836310034.970782,15219827789.524956
2026-10-01,,11494.321230197025,6801091330.193332,16187551130.200718
2026-11-01,,8772.761756879445,4071607807.6994486,13473915706.05944
2026-12-01,,19044.130387896887,14342962977.222588,23745297798.571182
2027-01-01,,5088.042327292093,205845758.81765175,9970238895.766535
2027-02-01,,10332.247447152069,5435737036.97175,15228757857.332388
2027-03-01,,14903.579114510037,10004181379.281572,19802976849.738503
2027-04-01,,9997.224964550689,5078001562.609816,14916448366.491564
2027-05-01,,13694.836916482225,8771561276.300678,18618112556.663773
2027-06-01,,11054.637064126291,6088538091.932359,16020736036.320225
2027-07-01,,9256.783985841443,4288524315.887247,14225043655.795637
2027-08-01,,13587.258891698877,8618998951.473946,18555518831.92381
2027-09-01,,11358.358317821889,6370353249.793462,16346363385.850315
2027-10-01,,12414.50886948907,7424999288.411603,17404018450.566536
2027-11-01,,9780.377002584604,4781777024.208383,14778976980.960827
2027-12-01,,19355.622901094383,14356981944.762531,24354263857.426235
2028-01-01,,6043.353283328273,896047526.0260277,11190659040.63052
2028-02-01,,11507.752614101879,6345173166.923362,16670332061.280396
2028-03-01,,16136.701772873645,10970991320.63578,21302412225.111507
2028-04-01,,10547.830509520127,5358354572.678684,15737306446.361568
2028-05-01,,14670.682252728988,9478305999.61153,19863058505.846447
2028-06-01,,11873.322570177961,6639813469.84245,17106831670.513474
2028-07-01,,10081.452094687904,4846585755.444231,15316318433.931578
2028-08-01,,15073.60652462244,9838729037.350082,20308484011.8948
2028-09-01,,12126.877990947254,6867263745.64689,17386492236.24762
2028-10-01,,13307.243631630325,8046270766.329014,18568216496.931637
2028-11-01,,10821.398537153951,5550564519.907348,16092232554.400555
2028-12-01,,19711.179429176227,14440263390.877415,24982095467.47504
